City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Huilong,CN,86.04,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
482,Placido De Castro,BR,78.91,clear sky,-10.3353,-67.1856,Hotel Carioca
485,Havelock,US,75.18,thunderstorm with light rain,34.8791,-76.9013,Sherwood Motel
487,Zhicheng,CN,80.53,light rain,30.2956,111.5047,Wangjiang Building
488,Lambarene,GA,75.78,overcast clouds,-0.7001,10.2406,Le Refuge
493,Omboue,GA,75.43,overcast clouds,-1.5746,9.2618,Hotel Olako
494,Luganville,VU,75.25,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
497,Wyndham,US,82.85,broken clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
498,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
499,Vaitape,PF,77.59,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
503,Santa Catalina,PH,82.06,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
509,Mogadishu,SO,75.6,light rain,2.0371,45.3438,Hotel Juba
510,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
513,Auki,SB,82.45,overcast clouds,-8.7676,160.7034,Auki Motel
517,Genoa,IT,75.06,broken clouds,44.4129,8.9573,Best Western Hotel Moderno Verdi
518,Lawrenceburg,US,81.07,broken clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
519,Wewak,PG,79.54,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
